Epic,Type,Summary,StoryPoints,Labels,Component,Status,Phase,Description
E7 출석부,작업,[TEST] 미저장 표시·저장 후 초기화 테스트,3,,frontend,대기,S4,점 표시와 카운트
E7 출석부,작업,[TEST] 마을 그룹 렌더 테스트,2,,frontend,대기,S4,1~9마을 + 새가족마을
E7 출석부,작업,[TEST] 출석부 실연동 관통,5,verify,frontend,대기,S4,회차 생성 → 체크 → 저장 → 재진입
E7 출석부,작업,[COMMON] 명단 CSV 전달·보관 절차 문서화,2,security,docs,대기,S4,개인정보 취급 경로를 남긴다
E7 출석부,작업,[COMMON] 명단 CSV 전달 방법 결정,1,pm-decision,docs,대기,S4,저장소 밖 경로 확정
E8 관리·회원운영,작업,[FE] /admin 관리 홈·역할 배지·진입점,3,,frontend,완료,S0,FR-ADM-01 그룹 3개
E8 관리·회원운영,작업,[FE] 관리 홈 용량 게이지 배치,2,cost,frontend,완료,S0,80% 경고 · 95% 차단 배지
E8 관리·회원운영,작업,[FE] /admin/members 목록·검색,3,,frontend,완료,S0,FR-ADM-03 이름 검색
E8 관리·회원운영,작업,[FE] 역할 부여 확인 모달,3,,frontend,완료,S0,FR-ADM-04 되돌리기 어려운 동작
E8 관리·회원운영,작업,[FE] 계정 삭제 — 사유 필수,3,,frontend,완료,S0,FR-ADM-02 명단 재개방 절차
E8 관리·회원운영,작업,[FE] 리셋 코드 발급 UI,3,,frontend,완료,S0,FR-ADM-08 코드·만료 시각 표시
E8 관리·회원운영,작업,[FE] /admin/newcomers 내역·보유기간 안내,3,,frontend,완료,S0,FR-ADM-07 1년 후 삭제 고지
E8 관리·회원운영,작업,[BE] GET /api/admin/members 검색·페이징,3,,backend,대기,S4,PASTOR 전용
E8 관리·회원운영,작업,[BE] DELETE /api/admin/members/{id} + 명단 재개방,5,,backend,대기,S4,claimed_at 해제
E8 관리·회원운영,작업,[BE] PATCH /api/admin/members/{id}/role,3,security,backend,대기,S4,MEMBER ↔ LEADER
E8 관리·회원운영,작업,[BE] 자기 잠금 방지 — 마지막 PASTOR 거부,3,security,backend,대기,S4,FR-ADM-05 NFR-SEC-14
E8 관리·회원운영,작업,[BE] POST /api/admin/members/{id}/password/reset,3,security,backend,대기,S4,리셋 코드 발급
E8 관리·회원운영,작업,[BE] GET /api/admin/newcomers,3,,backend,대기,S4,LEADER 이상
E8 관리·회원운영,작업,[BE] 새가족 1년 보유 후 삭제 배치,3,security,backend,대기,S5,NFR-PRIV-05
E8 관리·회원운영,작업,[TEST] 관리 API PASTOR 전용 인가 테스트,3,security,backend,대기,S4,LEADER는 403
E8 관리·회원운영,작업,[TEST] 마지막 PASTOR 강등 거부 테스트,3,security,backend,대기,S4,자기 잠금 방지
E8 관리·회원운영,작업,[TEST] 계정 삭제 후 재가입 가능 테스트,3,,backend,대기,S4,시드 계정으로 회귀
E8 관리·회원운영,작업,[TEST] 감사 로그 기록 검증,3,security,backend,대기,S4,3개 동작이 남는지
E8 관리·회원운영,작업,[TEST] 회원 관리 확인 모달 테스트,2,,frontend,대기,S4,취소 시 아무 일도 일어나지 않는다
E8 관리·회원운영,작업,[TEST] 관리 화면 실연동 검증,3,verify,frontend,대기,S4,목록 → 역할 변경 → 삭제 → 리셋 코드
E9 인프라·배포·CI,작업,[COMMON] Vercel 프로젝트 설정·환경변수,3,,infra,완료,S0,API_ORIGIN에 NEXT_PUBLIC 금지
E9 인프라·배포·CI,작업,[COMMON] Vercel Production Branch 정합성 확인,2,verify,infra,완료,S0,13커밋 동결 사고 재발 방지
E9 인프라·배포·CI,작업,[COMMON] 옛 preview 배포 5건 삭제,1,security,infra,대기,S5,보호를 풀기 전에 실행
E9 인프라·배포·CI,작업,[COMMON] 프로덕션 공개 전 개인정보 자산 미배포 검증,3,security,infra,대기,S5,실인물 사진·주보 404를 curl로 확인
E9 인프라·배포·CI,작업,[COMMON] Render 서비스·Deploy Hook,3,,infra,완료,S0,Auto-Deploy는 Off
E9 인프라·배포·CI,작업,[COMMON] Dockerfile 2단계 빌드·비루트,3,,infra,완료,S0,Dockerfile Path는 Root Directory 기준
E9 인프라·배포·CI,작업,[COMMON] Neon 연결·Flyway V1 적용,3,,infra,완료,S0,기동 시 마이그레이션
E9 인프라·배포·CI,작업,[COMMON] cron 핑 재가동,1,cost,infra,대기,S5,USE_MOCK=0 시점 · */10 6-23 Asia/Seoul
E9 인프라·배포·CI,작업,[COMMON] Actions 경로 필터·동시성 취소,3,cost,infra,완료,S0,무료 분 절약
E9 인프라·배포·CI,작업,[COMMON] Actions → Render 배포 게이트,3,,infra,완료,S0,skipped 빌드로 배포하지 않는다
E9 인프라·배포·CI,작업,[COMMON] CI 시크릿 스캔,3,security,infra,완료,S0,NFR-SEC-21
E9 인프라·배포·CI,작업,[COMMON] Jenkins 로컬 파이프라인,5,,infra,완료,S0,검증 전용 · 배포에 관여하지 않는다
E9 인프라·배포·CI,작업,[COMMON] 브랜치 5개 규약·통합 브랜치 운영,2,,infra,완료,S0,스택 머지 사고 재발 방지 규칙 포함
E9 인프라·배포·CI,작업,[COMMON] PR 템플릿·CONTRACT 승인 규칙,2,contract,infra,완료,S0,계약 변경은 상대 승인
E9 인프라·배포·CI,작업,[COMMON] 백엔드 CI Postgres 16 서비스,3,,infra,완료,S0,테스트에 실DB 필요
E9 인프라·배포·CI,작업,[COMMON] 프론트 CI mock 0/1 이중 빌드,3,,infra,완료,S0,백엔드 없이도 통과해야 한다
E9 인프라·배포·CI,작업,[COMMON] 비용 가드레일 주기 점검 루틴,3,cost,infra,대기,S5,Render 750h · Neon · R2 10GB
E9 인프라·배포·CI,작업,[COMMON] Neon 자동 정지·커넥션 누수 점검,3,cost,infra,완료,S0,핑 경로는 /health/alive
E9 인프라·배포·CI,작업,[COMMON] R2 버킷 CORS·비공개 설정,3,security,infra,대기,S3,브라우저 PUT 프리플라이트
E9 인프라·배포·CI,작업,[COMMON] 새 환경변수 등록 누락 방지 체크,2,,infra,대기,S5,등록 전 머지되면 기동 실패
E9 인프라·배포·CI,작업,[COMMON] DB 백업 — 일 1회 덤프,3,,infra,대기,S5,NFR-AVAIL-09 RPO 24시간
E9 인프라·배포·CI,작업,[COMMON] 도메인 연결·HTTPS,3,,infra,대기,S5,정식 오픈 전
E9 인프라·배포·CI,작업,[COMMON] 배포 롤백 절차 문서화,2,,docs,대기,S5,Render 이전 이미지로 되돌리기
E9 인프라·배포·CI,작업,[COMMON] 사용량 주간 점검 루틴,2,cost,infra,대기,S5,Render·Neon·R2·Vercel
E10 품질·보안·오픈,작업,[TEST] 인가 테스트 매트릭스 — 전 엔드포인트 × 5역할,8,security,backend,대기,S5,RLS가 없는 이 구조의 마지막 방어선
E10 품질·보안·오픈,작업,[TEST] 인가 매트릭스 CI 필수화,3,security,infra,대기,S5,NFR-SEC-09
E10 품질·보안·오픈,작업,[TEST] Bean Validation 전 입력 검증 점검,3,security,backend,대기,S5,NFR-SEC-25
E10 품질·보안·오픈,작업,[TEST] CSRF SameSite + Origin 검증 테스트,3,security,backend,대기,S5,NFR-SEC-28
E10 품질·보안·오픈,작업,[TEST] 회원·운영 응답 X-Robots-Tag noindex 확인,2,security,backend,대기,S5,NFR-SEC-29
E10 품질·보안·오픈,작업,[TEST] 토큰 저장소 금지 코드 검색,1,security,frontend,대기,S5,NFR-SEC-03 localStorage
E10 품질·보안·오픈,작업,[TEST] 클라이언트 번들 서버 키 미포함 확인,1,security,frontend,대기,S5,NFR-SEC-23
E10 품질·보안·오픈,작업,[TEST] Lighthouse 성능 90+ 실측,3,verify,frontend,대기,S5,NFR-PERF-05 오래 이월됨
E10 품질·보안·오픈,작업,[TEST] LCP/CLS/INP 측정·개선,5,verify,frontend,대기,S5,NFR-PERF-01~03
E10 품질·보안·오픈,작업,[TEST] 초기 JS 번들 120KB 이하 확인,3,verify,frontend,대기,S5,NFR-PERF-04
E10 품질·보안·오픈,작업,[TEST] 앨범 200장 전송량 20MB 이하 측정,3,cost,frontend,대기,S5,NFR-PERF-12
E10 품질·보안·오픈,작업,[TEST] API p95 응답 측정,3,verify,backend,대기,S5,조회 500ms · 로그인 800ms · presigned 300ms
E10 품질·보안·오픈,작업,[TEST] 접근성 — 키보드 내비·포커스 링,3,verify,frontend,대기,S5,모달 포커스 트랩 포함
E10 품질·보안·오픈,작업,[TEST] 접근성 — 색 대비 AA 재검증,3,verify,frontend,대기,S5,팔레트 교체 후 24조합
E10 품질·보안·오픈,작업,[TEST] 접근성 — 스크린리더 레이블 점검,3,verify,frontend,대기,S5,아이콘 전용 버튼 위주
E10 품질·보안·오픈,작업,[TEST] 모바일 실기기 폭 확인,2,verify,frontend,대기,S5,햄버거·양옆 레일이 본문을 가리지 않는지
E10 품질·보안·오픈,작업,[TEST] 다크 모드 육안 확인,2,verify,frontend,대기,S5,계산으로만 확인했다
E10 품질·보안·오픈,작업,[COMMON] 다크 모드 정식 지원 범위 결정,1,pm-decision,docs,대기,S5,고친 것은 안 보이던 글자뿐
E10 품질·보안·오픈,작업,[FE] PWA manifest·아이콘,3,,frontend,완료,S0,FR-MEM-03
E10 품질·보안·오픈,작업,[FE] 서비스워커·오프라인 폴백,5,,frontend,완료,S0,/offline
E10 품질·보안·오픈,작업,[FE] 회원 데이터 미캐싱 화이트리스트,3,security,frontend,완료,S0,캐시 전량 덤프로 검증
E10 품질·보안·오픈,작업,[FE] 설치 배너 1회 노출·iOS 안내,3,,frontend,완료,S0,카카오 인앱은 설치 불가라 안내 없음
E10 품질·보안·오픈,작업,[TEST] PWA 설치 실기기 검증,3,verify,frontend,대기,S5,안드로이드·iOS 각 1회
E10 품질·보안·오픈,작업,[COMMON] 개인정보 처리방침 페이지 작성·게시,3,security,frontend,대기,S5,NFR-PRIV-01 수집항목·목적·보유기간·파기
E10 품질·보안·오픈,작업,[TEST] 수집 동의 서버 재검증 확인,2,security,backend,대기,S5,NFR-PRIV-02 agreed 재검증
E10 품질·보안·오픈,작업,[COMMON] 운영 매뉴얼(임원용) 작성,5,,docs,대기,S5,업로드·회원관리·출석부 사용법
E10 품질·보안·오픈,작업,[COMMON] 백엔드 운영 문서,3,,docs,대기,S5,배포·롤백·장애 대응
E10 품질·보안·오픈,작업,[COMMON] 채널 RSS 502 대응 결정,1,pm-decision,docs,대기,S5,그냥 둠 / YouTube API 키 / 수동 갱신
E10 품질·보안·오픈,작업,[COMMON] 첫 화면 워드마크 가독성 판단,1,pm-decision,docs,대기,S5,사진 속 밝은 스크린과 겹친다
E10 품질·보안·오픈,작업,[COMMON] Instagram 핸들·가입 동의 문구 확정,1,pm-decision,docs,대기,S5,값이 들어오면 3곳이 함께 살아난다
E10 품질·보안·오픈,작업,[TEST] 배포 전 보안 체크리스트 공동 검증,5,security,docs,대기,S5,ARCHITECTURE §13 · FE·BE 함께
E10 품질·보안·오픈,작업,[TEST] 정식 오픈 리허설 — 실사용 시나리오 관통,5,verify,frontend,대기,S5,새가족·회원·임원 3역할 시나리오
